state_name,dist_name,area_type,Total,illiterate_males,literate_males,graduate_males,illiterate_females,literate_females,graduate_females,percent_graduate_male,percent_graduate_female
karnataka ,Kolar,Urban,153859,14263,103877,11614,9315,26404,3622,12,14
karnataka ,Chikkaballapura,Urban,94953,11991,59861,7531,7905,15196,1886,13,13
karnataka ,Bangalore Rural,Urban,97121,8502,66795,8056,5755,16069,1903,13,12
karnataka ,Ramanagara,Urban,93948,12243,57751,6577,8269,15685,1550,12,10
kerala,Kasaragod,Urban,136568,3602,98551,7599,3826,30589,3156,8,11
kerala,Kannur,Urban,429698,4543,332101,28084,3531,89523,14443,9,17
kerala,Wayanad,Urban,10145,433,7017,824,446,2249,381,12,17
kerala,Kozhikode,Urban,518387,6155,431981,38044,2910,77341,17367,9,23
kerala,Malappuram,Urban,369355,8051,320518,18026,2456,38330,6688,6,18
kerala,Palakkad,Urban,201139,5590,150346,14073,6925,38278,7451,10,20
kerala,Thrissur,Urban,616491,8914,461668,43878,6705,139204,26093,10,19
kerala,Ernakulam,Urban,722163,8987,546107,74659,5584,161485,43646,14,28
kerala,Idukki,Urban,15924,209,12113,1819,119,3483,1079,16,31
kerala,Kottayam,Urban,170114,1649,128554,17064,790,39121,9484,14,25
kerala,Alappuzha,Urban,332639,4255,238659,21959,3879,85846,13330,10,16
kerala,Pathanamthitta,Urban,33697,430,24389,3492,274,8604,2081,15,25
kerala,Kollam,Urban,321961,8138,232508,22067,6147,75168,12777,10,17
kerala,Thiruvananthapuram,Urban,519057,14788,374097,59000,8488,121684,35635,16,30
lakshadweep,Lakshadweep,Urban,8579,126,7133,471,33,1287,138,7,11
maharashtra,Nandurbar,Urban,79084,7148,55753,8438,5631,10552,1489,16,15
maharashtra,Dhule,Urban,162417,14444,120435,19692,7511,20027,3714,17,19
maharashtra,Jalgaon,Urban,384077,34776,281531,42792,19573,48197,7649,16,16
maharashtra,Buldana,Urban,162729,8951,121805,15272,7947,24026,2658,13,12
maharashtra,Akola,Urban,222034,11479,170052,22717,7665,32838,4966,14,16
maharashtra,Washim,Urban,61934,4029,46354,5737,3152,8399,808,13,10
maharashtra,Amravati,Urban,306851,15962,238488,37543,8973,43428,8417,16,20
maharashtra,Wardha,Urban,130380,3935,100733,18015,4536,21176,3995,18,19
maharashtra,Nagpur,Urban,1022377,48389,770549,136362,31632,171807,39370,18,23
maharashtra,Bhandara,Urban,65494,2414,47345,9479,2557,13178,2502,21,19
maharashtra,Gondiya,Urban,66975,2104,49113,7910,2907,12851,1894,17,15
maharashtra,Gadchiroli,Urban,34552,1923,24348,4629,1979,6302,941,20,15
maharashtra,Chandrapur,Urban,222841,14615,168079,25217,9833,30314,5452,16,18
maharashtra,Yavatmal,Urban,184693,8351,139190,21166,7645,29507,4812,16,17
maharashtra,Nanded,Urban,255959,27243,179493,29916,18038,31185,4829,17,16
maharashtra,Hingoli,Urban,49795,4463,36251,5007,2822,6259,612,14,10
maharashtra,Parbhani,Urban,158521,20839,106795,16059,12772,18115,2589,16,15
maharashtra,Jalna,Urban,108486,12297,74759,11797,7500,13930,2009,16,15
maharashtra,Aurangabad,Urban,483132,34992,359427,69789,24218,64495,15329,20,24
maharashtra,Nashik,Urban,835618,52980,627542,97474,36205,118891,23868,16,21
maharashtra,Thane,Urban,3045070,226285,2238512,368506,91780,488493,148745,17,31
maharashtra,Mumbai Suburban,Urban,3515744,212369,2598435,472840,93550,611390,214542,19,36
maharashtra,Mumbai,Urban,1208177,90914,883254,151293,31460,202549,68617,18,34
maharashtra,Raigarh,Urban,320940,16869,244129,47004,8457,51485,16063,20,32
maharashtra,Pune,Urban,2077190,124505,1491021,276850,82274,379390,115852,19,31
maharashtra,Ahmadnagar,Urban,298601,19148,211003,35753,18060,50390,8588,17,18
maharashtra,Bid,Urban,149484,12002,105593,19964,9589,22300,3182,19,15
maharashtra,Latur,Urban,169907,18427,121038,19941,9725,20717,3438,17,17
maharashtra,Osmanabad,Urban,78950,6148,56204,9994,4776,11822,1574,18,14
maharashtra,Solapur,Urban,465835,41839,302009,45813,45794,76193,9814,16,13
maharashtra,Satara,Urban,183117,11348,129046,27537,9519,33204,8259,22,25
maharashtra,Ratnagiri,Urban,77587,2942,58581,9522,1960,14104,3849,17,28
maharashtra,Sindhudurg,Urban,31898,1520,23623,4286,669,6086,1645,19,28
maharashtra,Kolhapur,Urban,406470,25794,302495,54475,18143,60038,12742,19,22
maharashtra,Sangli,Urban,228788,18022,159894,26766,12766,38106,7232,17,19
manipur,Senapati,Urban,1933,189,1055,253,234,455,120,24,27
manipur,Tamenglong,Urban,5514,195,3107,585,362,1850,268,19,15
manipur,Churachandpur,Urban,5638,235,3559,655,209,1635,274,19,17
manipur,Bishnupur,Urban,27694,2301,16807,3651,2665,5921,1266,22,22
manipur,Thoubal,Urban,47079,3156,29327,5731,4526,10070,1827,20,19
manipur,Imphal West,Urban,101509,3518,62746,19163,5205,30040,10692,31,36
manipur,Imphal East,Urban,57827,2673,35263,9520,3199,16692,5269,27,32
manipur,Ukhrul,Urban,8079,402,4435,909,577,2665,455,21,18
manipur,Chandel,Urban,5426,932,2946,220,818,730,51,8,7
meghalaya,West Garo Hills,Urban,19453,1036,12852,1958,578,4987,1103,16,23
meghalaya,East Garo Hills,Urban,10630,743,7294,551,310,2283,234,8,11
meghalaya,South Garo Hills,Urban,3404,216,2385,166,109,694,80,7,12
meghalaya,West Khasi Hills,Urban,10893,895,5734,498,580,3684,430,9,12
meghalaya,Ribhoi,Urban,9364,802,6329,424,533,1700,175,7,11
meghalaya,East Khasi Hills,Urban,128037,6834,80048,15601,4806,36349,11405,20,32
meghalaya,Jaintia Hills,Urban,9270,631,4562,781,438,3639,918,18,26
mizoram,Mamit,Urban,5718,184,3739,325,88,1707,130,9,8
mizoram,Kolasib,Urban,15025,364,9950,773,181,4530,394,8,9
mizoram,Aizawl,Urban,111361,900,69237,9694,503,40721,6602,15,17
mizoram,Champhai,Urban,16748,147,10686,823,181,5734,507,8,9
mizoram,Serchhip,Urban,13366,105,8191,582,64,5006,315,8,7
mizoram,Lunglei,Urban,22956,308,15819,1506,152,6677,748,10,12
mizoram,Lawngtlai,Urban,5379,95,3736,549,56,1492,264,15,18
mizoram,Saiha,Urban,6331,148,4247,557,113,1823,213,14,12
madhya pradesh,Sheopur,Urban,27541,4737,19146,3692,1908,1750,508,20,30
madhya pradesh,Morena,Urban,111522,15809,86970,17418,2978,5765,1976,21,35
madhya pradesh,Bhind,Urban,98102,14010,76183,13606,2763,5146,1635,18,32
madhya pradesh,Gwalior,Urban,356368,38455,270384,66679,14778,32751,12200,25,38
madhya pradesh,Datia,Urban,52215,7409,36539,7566,3903,4364,1172,21,27
madhya pradesh,Shivpuri,Urban,79667,12008,55890,12751,5594,6175,2123,23,35
madhya pradesh,Tikamgarh,Urban,71264,12333,43245,8419,8747,6939,1614,20,24
madhya pradesh,Chhatarpur,Urban,112121,16834,75782,15808,9298,10207,2949,21,29
madhya pradesh,Panna,Urban,32082,4026,22258,4630,2495,3303,1018,21,31
madhya pradesh,Sagar,Urban,235544,15533,162776,32802,20246,36989,6198,21,17
madhya pradesh,Damoh,Urban,76292,6622,51928,9932,6995,10747,2055,20,20
madhya pradesh,Satna,Urban,137189,15033,96092,21160,11348,14716,3888,23,27
madhya pradesh,Rewa,Urban,107063,11281,73189,18790,9882,12711,3805,26,30
madhya pradesh,Umaria,Urban,27232,2912,20155,4376,1669,2496,742,22,30
madhya pradesh,Neemuch,Urban,87295,6979,60176,11108,8886,11254,2396,19,22
madhya pradesh,Mandsaur,Urban,90360,6942,66361,12689,6875,10182,2506,20,25
madhya pradesh,Ratlam,Urban,132619,11946,95388,19580,9176,16109,4381,21,28
madhya pradesh,Ujjain,Urban,244496,22978,173575,36731,17434,30509,8824,22,29
madhya pradesh,Shajapur,Urban,85589,8668,62488,1672,6197,8236,315,3,4
madhya pradesh,Dewas,Urban,135877,13926,98215,15861,9472,14264,3935,17,28
madhya pradesh,Dhar,Urban,134142,16195,92671,15101,11108,14168,3488,17,25
madhya pradesh,Indore,Urban,816570,74925,582840,134621,46106,112699,33369,24,30
madhya pradesh,Khargone (West Nimar),Urban,93062,9800,65720,12864,7271,10271,3071,20,30
madhya pradesh,Barwani,Urban,65224,9353,41508,7475,7319,7044,1961,19,28
madhya pradesh,Rajgarh,Urban,77116,10549,52490,11249,6267,7810,2541,22,33
madhya pradesh,Vidisha,Urban,95850,12430,68117,15638,5263,10040,3479,23,35
madhya pradesh,Bhopal,Urban,577549,64395,400340,98804,31175,81639,30142,25,37
madhya pradesh,Sehore,Urban,67658,7950,49037,9342,3719,6952,2298,20,34
madhya pradesh,Raisen,Urban,85224,10694,62219,10482,4684,7627,1852,17,25
madhya pradesh,Betul,Urban,89790,7342,66647,14789,4403,11398,3428,23,31
madhya pradesh,Harda,Urban,32350,2198,25715,5741,1102,3335,1004,23,31
madhya pradesh,Hoshangabad,Urban,112595,8867,85333,21193,5175,13220,4502,25,35
madhya pradesh,Katni,Urban,77359,6446,57390,12111,4886,8637,2197,22,26
madhya pradesh,Jabalpur,Urban,446575,33627,319291,68344,24355,69302,18464,22,27
madhya pradesh,Narsimhapur,Urban,61778,4844,45780,10069,3358,7796,2112,22,28
madhya pradesh,Dindori,Urban,9360,620,6648,1767,695,1397,418,27,30
madhya pradesh,Mandla,Urban,39487,2505,27703,7269,3133,6146,2076,27,34
madhya pradesh,Chhindwara,Urban,148232,11876,105063,21936,9357,21936,5252,21,24
madhya pradesh,Seoni,Urban,48305,2753,35887,9298,2550,7115,2176,26,31
madhya pradesh,Balaghat,Urban,72388,4971,50922,11965,5422,11073,2932,24,27
madhya pradesh,Guna,Urban,83607,12657,58205,12918,5727,7018,2472,23,36
madhya pradesh,Ashoknagar,Urban,44654,6059,30951,5876,3371,4273,933,19,22
madhya pradesh,Shahdol (43),Urban,54507,4698,41170,10465,2963,5676,1768,26,32
madhya pradesh,Anuppur (44),Urban,54011,7001,39453,7495,3611,3946,1042,19,27
madhya pradesh,Sidhi (45),Urban,26620,3742,16646,4236,3239,2993,886,26,30
madhya pradesh,Singrauli (46),Urban,58037,9731,40867,7048,3781,3658,989,18,28
madhya pradesh,Jhabua (47),Urban,28890,2508,19345,4686,2481,4556,1432,25,32
madhya pradesh,Alirajpur (48),Urban,17743,2087,11632,2650,1645,2379,821,23,35
madhya pradesh,Khandwa (East Nimar) (49),Urban,76072,7265,56169,10361,4072,8566,2642,19,31
madhya pradesh,Burhanpur (50),Urban,79303,11165,55063,7183,5352,7723,1379,14,18
nagaland,Mon,Urban,8218,800,5183,399,472,1763,158,8,9
nagaland,Mokokchung,Urban,18989,934,12546,1452,246,5263,1046,12,20
nagaland,Zunheboto,Urban,7239,201,5144,535,122,1772,287,11,17
nagaland,Wokha,Urban,9833,187,6669,1164,214,2763,571,18,21
nagaland,Dimapur,Urban,62130,5334,42370,6253,1691,12735,3032,15,24
nagaland,Phek,Urban,8089,455,5108,552,695,1831,203,11,12
nagaland,Tuensang,Urban,9469,445,6385,561,419,2220,216,9,10
nagaland,Longleng,Urban,1890,135,1283,152,49,423,44,12,11
nagaland,Kiphire,Urban,3558,265,2219,194,293,781,56,9,8
nagaland,Kohima,Urban,39438,2533,24457,4559,1659,10789,3176,19,30
nagaland,Peren,Urban,4091,296,2244,278,411,1140,144,13,13
rajasthan,Ganganagar,Urban,166287,23738,119359,22307,8418,14772,4939,19,34
rajasthan,Hanumangarh,Urban,104249,17518,73034,11822,5669,8028,2062,17,26
rajasthan,Bikaner,Urban,226752,31293,168079,31233,11103,16277,5190,19,32
rajasthan,Churu,Urban,146511,23922,107264,13900,6734,8591,1929,13,23
rajasthan,Jhunjhunun,Urban,124695,16241,91085,15392,7042,10327,3341,17,33
rajasthan,Alwar,Urban,196353,16607,150113,35566,10752,18881,6009,24,32
rajasthan,Bharatpur,Urban,123824,14226,93413,19696,6444,9741,2966,22,31
rajasthan,Dhaulpur,Urban,61550,12238,41842,6200,3929,3541,769,15,22
rajasthan,Karauli,Urban,57092,8828,39581,5712,5068,3615,720,15,20
rajasthan,Sawai Madhopur,Urban,65534,6430,50469,9561,3720,4915,1174,19,24
rajasthan,Dausa,Urban,51154,4563,39688,8571,3105,3798,991,22,27
rajasthan,Jaipur,Urban,1032189,105625,770859,223050,51642,104063,42714,29,42
rajasthan,Sikar,Urban,156408,21298,118269,18349,7132,9709,2339,16,25
rajasthan,Nagaur,Urban,161262,29511,113729,14558,9553,8469,1381,13,17
rajasthan,Jodhpur,Urban,365582,43415,273389,58702,15912,32866,10969,22,34
rajasthan,Jaisalmer,Urban,27183,2895,21741,3703,927,1620,471,18,30
rajasthan,Barmer,Urban,50956,5178,41645,6805,1337,2796,749,17,27
rajasthan,Jalor,Urban,43004,6307,30199,3436,3863,2635,483,12,19
rajasthan,Sirohi,Urban,59359,6000,46391,6935,3006,3962,1178,15,30
rajasthan,Pali,Urban,134212,16601,99530,13113,9605,8476,1522,14,18
rajasthan,Ajmer,Urban,310446,23837,236080,43781,16287,34242,9741,19,29
rajasthan,Tonk,Urban,91610,14526,56944,10183,12048,8092,1728,18,22
rajasthan,Bundi,Urban,62888,7522,45137,7943,5182,5047,1278,18,26
rajasthan,Bhilwara,Urban,160676,15210,116655,22115,12004,16807,4230,19,26
rajasthan,Rajsamand,Urban,55112,4174,42145,7736,3918,4875,1267,19,26
rajasthan,Dungarpur,Urban,23520,1618,17937,3642,991,2974,930,21,32
rajasthan,Banswara,Urban,38531,2613,27911,5837,1878,6129,1701,21,28
rajasthan,Chittaurgarh,Urban,90055,7184,65417,12044,7548,9906,2711,19,28
rajasthan,Kota,Urban,346775,36009,256455,47118,22407,31904,9479,19,30
rajasthan,Baran,Urban,69626,7926,49869,7610,5631,6200,1114,16,18
rajasthan,Jhalawar,Urban,64409,6287,48723,8743,4143,5256,1569,18,30
rajasthan,Udaipur,Urban,192309,10880,148612,39459,8086,24731,9871,27,40
rajasthan,Pratapgarh,Urban,23264,1578,17031,3336,1760,2895,625,20,22
sikkim,North  District,Urban,1618,181,1022,116,87,328,51,12,16
sikkim,West District,Urban,1823,99,1251,137,66,407,64,11,16
sikkim,South District,Urban,7355,484,4876,804,248,1747,378,17,22
sikkim,East District,Urban,45524,2340,31168,5454,1445,10571,2737,18,26
tamil nadu,Thiruvallur,Urban,809787,43163,598286,98536,30138,138200,35358,17,26
tamil nadu,Chennai,Urban,1618471,84568,1171693,257501,57296,304914,92920,22,31
tamil nadu,Kancheepuram,Urban,876921,45719,630598,113415,34520,166084,41639,18,26
tamil nadu,Vellore,Urban,563323,44631,383488,43856,37228,97976,13852,12,15
tamil nadu,Tiruvannamalai,Urban,166420,12672,113812,13231,11839,28097,4907,12,18
tamil nadu,Viluppuram,Urban,155878,12227,109666,14041,9961,24024,4949,13,21
tamil nadu,Salem,Urban,710989,88291,424861,45217,80773,117064,14496,11,13
tamil nadu,Namakkal,Urban,315810,34055,174644,17663,42905,64206,6127,11,10
tamil nadu,Erode,Urban,531154,56511,297994,32968,71701,104948,11916,12,12
tamil nadu,The Nilgiris,Urban,171489,8106,104997,10943,15612,42774,3900,11,10
tamil nadu,Dindigul,Urban,312777,26339,196133,19883,30701,59604,7539,11,13
tamil nadu,Karur,Urban,180433,12101,114035,12790,18066,36231,4273,12,12
tamil nadu,Tiruchirappalli,Urban,449999,22399,326785,48927,23394,77421,16850,15,22
tamil nadu,Perambalur,Urban,36261,2828,21292,2611,4066,8075,1230,13,16
tamil nadu,Ariyalur,Urban,24876,2609,16121,2105,1840,4306,747,14,18
tamil nadu,Cuddalore,Urban,260262,18820,190350,25822,14001,37091,8583,14,24
tamil nadu,Nagapattinam,Urban,100263,4964,76478,9667,4703,14118,3075,13,22
tamil nadu,Thiruvarur,Urban,76000,3814,58478,7366,3168,10540,2324,13,23
tamil nadu,Thanjavur,Urban,270054,15309,200318,27223,12865,41562,8851,14,22
tamil nadu,Pudukkottai,Urban,100494,5232,75436,9101,5138,14688,3091,13,22
tamil nadu,Sivaganga,Urban,123501,6025,93537,12339,5496,18443,4016,14,22
tamil nadu,Madurai ,Urban,506015,34879,471136,74446,33228,123123,23645,16,20
tamil nadu,Theni,Urban,263584,26806,155076,15103,34276,47426,3901,10,9
tamil nadu,Virudhunagar,Urban,407492,30441,245815,24607,43178,88058,7848,11,9
tamil nadu,Ramanathapuram,Urban,124611,7503,95137,10199,4618,17353,2652,11,16
tamil nadu,Thoothukkudi,Urban,304925,15960,219056,24888,14733,55176,8156,12,15
tamil nadu,Tirunelveli,Urban,582992,35934,356827,35322,53729,136502,11502,10,9
tamil nadu,Kanniyakumari,Urban,451855,20410,344405,31158,9124,77916,13191,10,17
tamil nadu,Dharmapuri,Urban,94679,10285,57023,7720,10002,17369,3132,14,19
tamil nadu,Krishnagiri,Urban,147967,13349,102680,13347,8976,22962,4890,13,22
tamil nadu,Coimbatore,Urban,1035634,63482,700672,95462,62753,208727,40717,14,20
tamil nadu,Tiruppur,Urban,668132,48694,422667,37144,54055,142716,11387,9,8
tripura,West Tripura,Urban,214616,9038,168460,23880,4483,32635,7268,15,23
tripura,South Tripura,Urban,37915,1432,31214,4445,510,4759,876,15,19
tripura,Dhalai,Urban,13156,297,11169,1049,140,1550,194,10,13
tripura,North Tripura,Urban,34182,1563,27104,3760,568,4947,1150,14,24
uttar pradesh,Saharanpur,Urban,277915,59317,192204,34114,8145,18249,5995,18,33
uttar pradesh,Muzaffarnagar,Urban,308587,68941,213172,37856,10335,16139,5486,18,34
uttar pradesh,Bijnor,Urban,216247,60886,135383,20935,7872,12106,3903,16,33
uttar pradesh,Moradabad,Urban,388916,127149,222940,45012,16868,21959,7664,21,35
uttar pradesh,Rampur,Urban,157423,64187,76203,13375,9642,7391,2421,18,33
uttar pradesh,Jyotiba Phule Nagar,Urban,113128,33600,65330,10535,6989,7209,1928,17,27
uttar pradesh,Meerut,Urban,461010,85166,320123,67471,17469,38252,13454,22,36
uttar pradesh,Baghpat,Urban,68288,11801,50065,8689,2774,3648,1059,18,30
uttar pradesh,Ghaziabad,Urban,868483,102522,642606,151440,29985,93370,35608,24,39
uttar pradesh,Gautam Buddha Nagar,Urban,302015,26972,221024,57710,11861,42158,17496,27,42
uttar pradesh,Bulandshahr,Urban,218184,48968,145192,27049,11082,12942,3889,19,31
uttar pradesh,Aligarh,Urban,289967,72171,183743,38423,14202,19851,6167,21,32
uttar pradesh,Mahamaya Nagar,Urban,73555,14539,52616,11695,2402,3998,1321,23,34
uttar pradesh,Mathura,Urban,180445,30309,129868,28390,7814,12454,3587,22,29
uttar pradesh,Agra,Urban,505546,98455,335388,71155,25193,46510,11592,22,25
uttar pradesh,Firozabad,Urban,211281,43785,129105,22602,18605,19786,3188,18,17
uttar pradesh,Mainpuri,Urban,62413,9511,46137,10408,2008,4757,1695,23,36
uttar pradesh,Budaun,Urban,147159,50864,83460,15577,5841,6994,2447,19,35
uttar pradesh,Bareilly,Urban,393003,110785,224150,46005,25758,32310,8883,21,28
uttar pradesh,Pilibhit,Urban,81535,22148,50527,10975,3578,5282,1733,22,33
uttar pradesh,Shahjahanpur,Urban,139311,42329,83864,17001,5853,7265,2726,21,38
uttar pradesh,Kheri,Urban,108436,25508,71349,16490,3822,7757,2673,24,35
uttar pradesh,Sitapur,Urban,124103,27081,79577,17286,6104,11341,3775,22,34
uttar pradesh,Hardoi,Urban,128351,28826,85043,16649,5531,8951,2642,20,30
uttar pradesh,Unnao,Urban,122843,23624,85095,17669,5142,8982,2743,21,31
uttar pradesh,Lucknow,Urban,817673,105662,583891,194969,29569,98551,45957,34,47
uttar pradesh,Rae Bareli,Urban,71809,10052,51157,14019,3160,7440,2688,28,37
uttar pradesh,Farrukhabad,Urban,105165,21597,71589,14724,4397,7582,1970,21,26
uttar pradesh,Kannauj,Urban,72221,15189,44632,8742,6673,5727,1197,20,21
uttar pradesh,Etawah,Urban,82565,10948,62425,16909,2483,6709,2309,28,35
uttar pradesh,Auraiya,Urban,54719,5137,43238,11180,1422,4922,1576,26,33
uttar pradesh,Kanpur Dehat,Urban,42175,6459,31093,6774,1506,3117,968,22,32
uttar pradesh,Kanpur Nagar,Urban,818178,118355,598058,159767,25998,75767,27699,27,37
uttar pradesh,Jalaun,Urban,96027,14417,70531,17971,4216,6863,1902,26,28
uttar pradesh,Jhansi,Urban,214978,22063,161498,36081,11838,19579,5418,23,28
uttar pradesh,Lalitpur,Urban,44769,5160,32473,8009,2656,4480,1177,25,27
uttar pradesh,Hamirpur,Urban,51342,6944,36350,8381,3790,4258,1100,24,26
uttar pradesh,Mahoba,Urban,43434,8120,29204,5678,3176,2934,694,20,24
uttar pradesh,Banda,Urban,68982,8367,51444,14324,3970,5201,1686,28,33
uttar pradesh,Chitrakoot,Urban,23571,3862,16701,4111,1403,1605,487,25,31
uttar pradesh,Fatehpur,Urban,75362,13109,52724,13084,3857,5672,1989,25,36
uttar pradesh,Pratapgarh,Urban,36389,4925,25630,6089,1982,3852,925,24,25
uttar pradesh,Kaushambi,Urban,30146,6164,17931,2641,3290,2761,337,15,13
uttar pradesh,Allahabad,Urban,350815,41288,247963,76570,18940,42624,14751,31,35
uttar pradesh,Bara Banki,Urban,80393,20681,48343,10070,4878,6491,1856,21,29
uttar pradesh,Faizabad,Urban,82680,10952,60755,15607,3288,7685,2719,26,36
uttar pradesh,Ambedkar Nagar,Urban,60228,10930,41074,6458,3132,5092,1291,16,26
uttar pradesh,Sultanpur,Urban,47478,4965,35608,9805,1803,5102,1739,28,35
uttar pradesh,Bahraich,Urban,63118,17080,38179,8728,3258,4601,1443,23,32
uttar pradesh,Shrawasti,Urban,6933,2027,4371,743,219,316,95,17,31
uttar pradesh,Balrampur,Urban,34978,8657,22428,4958,1710,2183,821,23,38
uttar pradesh,Gonda,Urban,52411,9762,36215,9022,1845,4589,1502,25,33
uttar pradesh,Siddharthnagar,Urban,30132,5497,19432,3456,2458,2745,532,18,20
uttar pradesh,Basti,Urban,27790,3035,21300,6601,855,2600,1011,31,39
uttar pradesh,Sant Kabir Nagar,Urban,24744,4263,17149,3383,1634,1698,380,20,23
uttar pradesh,Mahrajganj,Urban,28294,3745,21278,3828,1340,1931,458,18,24
uttar pradesh,Gorakhpur,Urban,187728,19736,140353,42050,7396,20243,6803,30,34
uttar pradesh,Kushinagar,Urban,31833,5488,22382,4808,1452,2511,509,22,21
uttar pradesh,Deoria,Urban,62639,8082,47439,13330,2036,5082,1852,29,37
uttar pradesh,Azamgarh,Urban,88646,14148,56238,10321,7115,11145,1796,19,17
uttar pradesh,Mau,Urban,127962,18208,76069,9728,11064,22621,2455,13,11
uttar pradesh,Ballia,Urban,61845,9199,43092,9922,3254,6300,1287,24,21
uttar pradesh,Jaunpur,Urban,75997,10601,54544,12174,3719,7133,1595,23,23
uttar pradesh,Ghazipur,Urban,60977,7885,43903,10467,3147,6042,1389,24,23
uttar pradesh,Chandauli,Urban,46555,7710,32882,7291,2840,3123,842,23,27
uttar pradesh,Varanasi ,Urban,439824,72370,298820,71257,24483,44151,11875,24,27
uttar pradesh,Sant Ravidas Nagar (Bhadohi),Urban,52237,9361,35895,5269,3561,3420,582,15,18
uttar pradesh,Mirzapur,Urban,80367,13470,53864,11731,5341,7692,1608,22,21
uttar pradesh,Sonbhadra,Urban,75842,7216,60062,12723,2972,5592,1466,22,27
uttar pradesh,Etah,Urban,59693,9727,42823,11437,2094,5049,1639,27,33
uttar pradesh,Kanshiram Nagar ,Urban,66489,16971,40774,7997,4982,3762,896,20,24
uttarakhand,Uttarkashi,Urban,7152,333,5250,1733,397,1172,571,34,49
uttarakhand,Chamoli,Urban,19793,951,14987,3898,747,3108,1117,27,36
uttarakhand,Rudraprayag,Urban,3785,168,2946,678,120,551,173,24,32
uttarakhand,Tehri Garhwal,Urban,20864,1381,16520,5299,384,2579,1334,33,52
uttarakhand,Dehradun,Urban,282848,21592,215671,62294,7605,37980,18500,29,49
uttarakhand,Garhwal ,Urban,30049,1997,23494,7681,473,4085,2419,33,60
uttarakhand,Pithoragarh,Urban,16076,659,12359,3874,260,2798,1334,32,48
uttarakhand,Bageshwar,Urban,2163,54,1687,569,44,378,172,34,46
uttarakhand,Almora,Urban,20065,519,16325,4503,229,2992,1617,28,55
uttarakhand,Champawat,Urban,10423,1367,7631,1742,330,1095,463,23,43
uttarakhand,Nainital,Urban,104224,11454,77908,22554,2597,12265,6267,29,52
uttarakhand,Udham Singh Nagar,Urban,157944,28570,109684,23966,7409,12281,4506,22,37
uttarakhand,Hardwar,Urban,196665,24889,148914,32810,5429,17433,6826,23,40
west bengal,Darjiling,Urban,225837,18144,160132,33105,10815,36746,10580,21,29
west bengal,Jalpaiguri,Urban,342097,45857,242644,34703,19070,34526,8117,15,24
west bengal,Koch Bihar,Urban,92026,7695,69395,13561,3447,11489,3388,20,30
west bengal,Uttar Dinajpur,Urban,107889,16267,74730,13611,5410,11482,2814,19,25
west bengal,Dakshin Dinajpur,Urban,78405,6061,56847,11658,3207,12290,3006,21,25
west bengal,Maldah,Urban,164462,33912,96432,15546,14013,20105,3287,17,17
west bengal,Murshidabad,Urban,487516,99383,236430,31779,81347,70356,6423,14,10
west bengal,Birbhum,Urban,139163,18628,96389,20714,10036,14110,3598,22,26
west bengal,Barddhaman,Urban,831940,98902,618876,113504,38883,75279,18780,19,25
west bengal,Nadia,Urban,490244,52257,349528,46874,23906,64553,9737,14,16
west bengal,North Twenty Four Parganas,Urban,1828357,136866,1402818,308957,57794,230879,64958,23,29
west bengal,Hugli,Urban,684489,60900,522260,101369,25501,75828,19590,20,26
west bengal,Bankura,Urban,90870,8130,66418,14090,6106,10216,2486,22,25
west bengal,Puruliya,Urban,95091,13803,67013,12991,6203,8072,2249,20,28
west bengal,Haora,Urban,992381,111831,747364,111389,29050,104136,19027,15,19
west bengal,Kolkata,Urban,1574263,164315,1128196,291322,59999,221753,79533,26,36
west bengal,South Twenty Four Parganas,Urban,610204,75879,445735,68403,23642,64948,14790,16,23
west bengal,Paschim Medinipur,Urban,208684,17832,157989,29960,9337,23526,6285,19,27
west bengal,Purba Medinipur,Urban,156826,10415,127087,20363,3780,15544,4279,17,28
